similarity,id1,name1,labs1,id2,name2,labs2
0.9407,370,"Kačių įdrėskimo liga (Bartonella Hensellae) IgG antikūnai","Rezus",371,"Kačių įdrėskimo liga (Bartonella Hensellae) IgM antikūnai","Anteja, Rezus"
0.9358,1035,"Šlapimo rūgštis","Anteja",2225,"Šlapimo rūgštis šlapime","Rezus"
0.9290,465,"Mycoplasma Pneumoniae IgG antikūnai","Anteja, Rezus",466,"Mycoplasma Pneumoniae IgM antikūnai","Anteja, Rezus"
0.9248,1361,"Anti-DGP-IgA Antikūnai IgA prieš deamidintus gliadino baltymus","Anteja, Rezus",1362,"Anti-DGP-IgG Antikūnai IgG prieš deamidintus gliadino baltymus","Anteja, Rezus"
0.9222,1031,"Tymų Viruso IgG antikūnai","Anteja, Rezus",1032,"Tymų Viruso IgM antikūnai","Anteja, Rezus"
0.9063,141,"Antikūnai IgM prieš Chlamydia trachomatis","Anteja",1881,"Antikūnai IgG prieš Chlamydia trachomatis","Anteja, Rezus"
0.9059,459,"Mycoplasma genitalium DNR (PGR metodu) šlapime","Anteja",2039,"Mycoplasma genitalium DNR nustatymas (PGR metodu)","Anteja, Rezus"
0.9032,463,"Mycoplasma hominis DNR (PGR metodu) šlapime","Anteja",1753,"Mycoplasma hominis DNR nustatymas (PGR metodu)","Anteja, Rezus"
0.9026,1010,"Toxoplasma Gondii IgG antikūnai","Anteja, Rezus",1011,"Toxoplasma Gondii IgM antikūnai","Anteja, Rezus"
0.8946,1010,"Toxoplasma Gondii IgG antikūnai","Anteja, Rezus",1971,"Toxoplasma gondii IgA antikūnai","Anteja"
0.8935,1413,"RNR Erkinio encefalito RNR RL PGR (erkėje)","Anteja",1928,"Erkinio encefalito RNR (erkėje, PGR)","Anteja, Rezus"
0.8892,137,"Antikūnai IgA prieš Chlamydia trachomatis","Anteja",1881,"Antikūnai IgG prieš Chlamydia trachomatis","Anteja, Rezus"
0.8883,1373,"Antikūnai IgA prieš Chlamydia pneumoniae","Anteja",1990,"Antikūnai IgG prieš Chlamydia pneumoniae","Anteja, Rezus"
0.8864,189,"Candida IgG antikūnai","Anteja",1751,"Candida IgM antikūnai","Anteja, Rezus"
0.8819,268,"Erkinio Encefalito IgG antikūnai","Anteja, Rezus",269,"Erkinio Encefalito IgM antikūnai","Anteja, Rezus"
0.8815,1421,"G2 subklasė Imunoglobulino IgG","Anteja, Rezus",1422,"G3 subklasė Imunoglobulino IgG","Anteja, Rezus"
0.8793,1421,"G2 subklasė Imunoglobulino IgG","Anteja, Rezus",1423,"G4 subklasė Imunoglobulino IgG","Anteja"
0.8760,1369,"Anti-tTG-IgG Antikūnai IgG prieš audinių transgliutaminazę","Anteja",1916,"Antikūnai IgA prieš audinių transglutaminazę (anti-tTG IgA)","Anteja, Rezus"
0.8733,1753,"Mycoplasma hominis DNR nustatymas (PGR metodu)","Anteja, Rezus",2039,"Mycoplasma genitalium DNR nustatymas (PGR metodu)","Anteja, Rezus"
0.8714,1422,"G3 subklasė Imunoglobulino IgG","Anteja, Rezus",1423,"G4 subklasė Imunoglobulino IgG","Anteja"
0.8675,1957,"Hepatito A viruso IgG antikūnai (anti-HAV IgG)","Anteja",1958,"Hepatito A viruso IgM antikūnai (anti-HAV IgM)","Anteja, Rezus"
0.8664,186,"Candida albicans (PGR)","Anteja, Rezus",187,"Candida albicans (PGR) šlapime","Anteja, Rezus"
0.8634,1045,"Varicella Zoster Viruso IgM antikūnai","Rezus",2008,"Varicella zoster viruso IgG antikūnai","Anteja, Rezus"
0.8630,289,"Gardnerella vaginalis (PGR)","Anteja, Rezus",290,"Gardnerella vaginalis (PGR) šlapime","Anteja, Rezus"
0.8609,1011,"Toxoplasma Gondii IgM antikūnai","Anteja, Rezus",1971,"Toxoplasma gondii IgA antikūnai","Anteja"
0.8609,2040,"Neisseria gonorrhoeae (PGR)","Anteja, Rezus",2046,"Neisseria gonorrhoeae (PGR) šlapime","Anteja, Rezus"
0.8601,512,"Odos, nago ir plaukų mikroskopinis tyrimas grybams nustatyti","Rezus",513,"Odos, nagų ir plaukų pasėlis grybams nustatyti","Anteja, Rezus"
